SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,I_novel,R_novel,I_monde,R_monde,population
5233,03/13/2020,France,France,2020-03-11T20:00:00,3661,79,12,0,0,0,,67000000
5390,03/14/2020,France,France,2020-03-14T20:13:16,4469,91,12,0,0,0,,67000000
5639,03/15/2020,France,France,2020-03-15T18:20:18,4499,91,12,6.56119E-05,0,923,,67000000
5897,03/16/2020,France,France,2020-03-16T20:13:11,6633,148,12,9.66119E-05,8.50746E-07,1210,,67000000
6169,03/17/2020,France,France,2020-03-17T19:13:08,7652,148,12,0.000111821,0,1097,,67000000
6444,03/18/2020,France,France,2020-03-18T18:33:02,9043,148,12,0.000132582,0,1404,,67000000
6728,03/19/2020,France,France,2020-03-19T20:43:02,10871,243,12,0.000158448,1.41791E-06,1861,,67000000
7020,03/20/2020,France,France,2020-03-20T22:43:03,12612,450,12,0.000181343,3.08955E-06,1617,,67000000
7319,03/21/2020,France,France,2020-03-21T20:43:02,14282,562,12,0.000204597,1.67164E-06,1847,,67000000
7670,03/22/2020,,France,3/8/20 5:31,16018,674,2200,0.000196179,3.43284E-05,2230,,67000000
8264,03/24/2020,,France,24/3/20 23:41,22304,1100,3281,0.000267507,2.24925E-05,3167,,67000000
8564,03/25/2020,,France,25/3/20 23:37,25233,1331,3900,0.000298537,1.26866E-05,2446,,67000000
8866,03/26/2020,,France,26/3/20 23:53,29155,1696,4948,0.000335985,2.10896E-05,2931,,67000000
9173,03/27/2020,,France,27/3/20 23:27,32964,1995,5700,0.000377149,1.56866E-05,3922,,67000000
9480,03/28/2020,,France,28/3/20 23:11,37575,2314,5700,0.000441209,4.76119E-06,3809,,67000000
9791,03/29/2020,,France,29/3/20 23:14,40174,2606,7202,0.000453224,2.67761E-05,4611,,67000000
10103,03/30/2020,,France,30/3/20 22:58,44550,3024,7927,0.000501478,1.70597E-05,2599,,67000000
10416,03/31/2020,,France,31/3/20 23:49,52128,3523,9444,0.000584493,3.00896E-05,4376,,67000000
10729,4/1/20,,France,1/4/20 22:04,56989,4032,10934,0.000627209,2.98358E-05,7578,,67000000
11042,4/2/20,,France,2/4/20 23:32,59105,5387,12428,0.000616269,4.25224E-05,4861,,67000000
11357,4/3/20,,France,3/4/20 22:52,64338,6507,14008,0.000654075,4.02985E-05,2116,,67000000
11672,4/4/20,,France,4/4/20 23:41,89953,7560,15438,0.000999328,3.70597E-05,5233,,67000000
11988,4/5/20,,France,5/4/20 23:13,92839,8078,16183,0.001023552,1.88507E-05,4267,,67000000